base_id,original_pdb,watermarked_pdb,bit_label,E_original,E_watermarked,delta_E
110M,110M.pdb,110M_12bit_111111101110.pdb,12bit_111111101110,-115.0370798,-114.9553521,0.081727739
129L,129L.pdb,129L_12bit_111001101101.pdb,12bit_111001101101,-57.50106497,-57.37510805,0.125956924
132L,132L.pdb,132L_12bit_110000010010.pdb,12bit_110000010010,59.60705754,59.63070416,0.023646624
169L,169L.pdb,169L_12bit_100000101110.pdb,12bit_100000101110,7647.165221,7647.517532,0.352311023
181L,181L.pdb,181L_12bit_000010101000.pdb,12bit_000010101000,-20.43212659,-20.27311746,0.159009128
190L,190L.pdb,190L_12bit_101000001001.pdb,12bit_101000001001,93.61846379,93.46294626,-0.155517534
1A00,1A00.pdb,1A00_12bit_010101001001.pdb,12bit_010101001001,-94.71837389,-94.73728298,-0.018909097
1A1D,1A1D.pdb,1A1D_12bit_100010110111.pdb,12bit_100010110111,0.0,0.0,0.0
1A2B,1A2B.pdb,1A2B_12bit_001011111100.pdb,12bit_001011111100,175.7182967,175.7664941,0.048197355
1A3E,1A3E.pdb,1A3E_12bit_010001010111.pdb,12bit_010001010111,14.41859496,14.44425017,0.025655208
1A3K,1A3K.pdb,1A3K_12bit_110100011000.pdb,12bit_110100011000,701.5662923,701.6316132,0.065320958
1A4K,1A4K.pdb,1A4K_12bit_101011101001.pdb,12bit_101011101001,3903.890095,3903.744613,-0.145482401
1A4L,1A4L.pdb,1A4L_12bit_011110111010.pdb,12bit_011110111010,1190.094976,1190.104351,0.009375396
1A5I,1A5I.pdb,1A5I_12bit_100001010010.pdb,12bit_100001010010,674.0102998,673.7073814,-0.302918374
1A6N,1A6N.pdb,1A6N_12bit_001100000001.pdb,12bit_001100000001,-196.949916,-196.9443366,0.005579445
1A6U,1A6U.pdb,1A6U_12bit_100101011011.pdb,12bit_100101011011,46.49184911,46.40217699,-0.089672123
1A7V,1A7V.pdb,1A7V_12bit_001000111011.pdb,12bit_001000111011,1366.221034,1365.864528,-0.356505825
1A8S,1A8S.pdb,1A8S_12bit_100111010110.pdb,12bit_100111010110,-372.5504916,-372.2710778,0.279413733
1AA6,1AA6.pdb,1AA6_12bit_111111111000.pdb,12bit_111111111000,1448.180361,1448.376915,0.196553606
1ACJ,1ACJ.pdb,1ACJ_12bit_100111101100.pdb,12bit_100111101100,564.7814035,564.9942219,0.212818434
1ACM,1ACM.pdb,1ACM_12bit_011100111100.pdb,12bit_011100111100,1128.237984,1128.318249,0.080265026
