"PDB_ID","Bit_Length","Watermark_Embedded","Watermark_Decoded","Verification_Status","Global_CA_RMSD"
"5XOX","4","111","111","Success","0.00028"
"3LX3","4","1010","1010","Success","0.00076"
"6LVU","4","10","10","Success","0.00079"
"5TNJ","4","1100","1100","Success","0.00029"
"6QEA","4","1000","1000","Success","0.00088"
"2O1O","4","1100","1100","Success","0.00038"
"7U82","4","101","101","Success","0.00048"
"3AGX","4","10","10","Success","0.00056"
"4DO6","4","1100","1100","Success","0.00036"
"5XBP","4","1001","1001","Success","0.00023"
"3BQX","4","1110","1110","Success","0.00087"
"9F8W","4","1100","1100","Success","0.0004"
"1Q3Y","4","111","111","Success","0.00159"
"6LRF","4","1010","1010","Success","0.00027"
"5HME","4","1101","1101","Success","0.00033"
"4GD6","4","0","0","Success","0.00059"
"2IY4","4","1001","1001","Success","0.00016"
"5UQN","4","1100","1100","Success","0.00041"
"3BPM","4","100","100","Success","0.00044"
"2QHL","4","0","0","Success","0.00042"
"9DV9","4","1101","1101","Success","0.00045"
"8CUQ","4","10","10","Success","0.00036"
"6RGA","4","1100","1100","Success","0.00062"
"2CB8","4","1101","1101","Success","0.00074"
"5ACJ","4","0","0","Success","0.00061"
"6G86","4","111","111","Success","0.00035"
"4RVA","4","1011","1011","Success","0.00059"
"4E7U","4","1110","1110","Success","0.00097"
"6R15","4","1000","1000","Success","0.00065"
"3HBM","4","0","0","Success","0.00059"
"8WJC","4","100","100","Success","0.00049"
"3K3W","4","110","110","Success","0.00035"
"7QKS","4","111","111","Success","0.00028"
"6QII","4","1010","1010","Success","0.00031"
"8QWN","4","101","101","Success","0.00071"
"8RMQ","4","1101","1101","Success","0.00024"
"3HG5","4","110","110","Success","0.00035"
"8SME","4","1010","1010","Success","0.00079"
"5EMC","4","101","101","Success","0.00084"
"2R70","4","110","110","Success","0.00036"
"7CZO","4","100","100","Success","0.00097"
"4K22","4","1000","1000","Success","0.00037"
"5YQN","4","0","0","Success","0.00058"
"5UHY","4","1111","1111","Success","0.00022"
"2QO7","4","1","1","Success","0.00059"
"6C79","4","1101","1101","Success","0.0006"
"5YIV","4","1100","1100","Success","0.00074"
"1UHS","4","1000","1000","Success","0.00026"
"3ERJ","4","10","10","Success","0.00066"
"7RKP","4","11","11","Success","0.00073"
"6V1U","4","11","11","Success","0.00086"
"2D2I","4","11","11","Success","0.00023"
"2QEB","4","100","100","Success","0.00057"
"7ZP2","4","1","1","Success","0.00022"
"1U3I","4","101","101","Success","0.00068"
"2KLJ","4","111","111","Success","0.00024"
"7K62","4","1010","1010","Success","0.00055"
"2JK3","4","1001","1001","Success","0.00052"
"5D88","4","1001","1001","Success","0.00063"
"7AZB","4","1010","1010","Success","0.00061"
"1TNI","4","1001","1001","Success","0.00067"
"8V26","4","11","11","Success","0.00033"
"5QLS","4","100","100","Success","0.0005"
"7C61","4","101","101","Success","0.00035"
"4O1F","4","1111","1111","Success","0.00041"
"1NL0","4","1111","1111","Success","0.00046"
"6HKT","4","1","1","Success","0.00015"
"1DGQ","4","1111","1111","Success","0.00016"
"4LCA","4","1000","1000","Success","0.00039"
"3RNQ","4","100","100","Success","0.00058"
"6R72","4","1","1","Success","0.0002"
"9FE2","4","1011","1011","Success","0.00029"
"2YXD","4","1101","1101","Success","0.00053"
"7D6T","4","1100","1100","Success","0.00052"
"7NZV","4","1","1","Success","0.00064"
"5EYL","4","101","101","Success","0.00061"
"1S05","4","0","0","Success","0.00086"
"4DJQ","4","10","10","Success","0.0007"
"6A6Q","4","110","110","Success","0.00052"
"1JZQ","4","101","101","Success","0.00034"
"8Y9P","4","1010","1010","Success","0.0007"
"6VZU","4","101","101","Success","0.00025"
"6F42","4","1101","1101","Success","0.00013"
"9G7F","4","101","101","Success","0.00029"
"7LFR","4","1111","1111","Success","0.00029"
"6DY1","4","111","111","Success","0.00054"
"4LM3","4","1000","1000","Success","0.00038"
"8V4Q","4","1","1","Success","0.00036"
"4GQW","4","11","11","Success","0.00085"
"3HO4","4","0","0","Success","0.00034"
"8DKI","4","1100","1100","Success","0.00042"
"7Z53","4","1110","1110","Success","0.00014"
"3N2E","4","1100","1100","Success","0.00047"
"3UX9","4","11","11","Success","0.00038"
"2QUZ","4","11","11","Success","0.00078"
"3N0E","4","110","110","Success","0.00056"
"5A9G","4","1001","1001","Success","0.0005"
"4WRL","4","1101","1101","Success","0.00034"
"2L07","4","10","10","Success","0.00051"
"5ZWY","4","1110","1110","Success","0.0004"
"5YCG","4","110","110","Success","0.00079"
"1F1A","4","11","11","Success","0.00078"
"3V0B","4","1011","1011","Success","0.0002"
"7PTD","4","1010","1010","Success","0.00058"
"8YXI","4","1100","1100","Success","0.00037"
"6ETF","4","110","110","Success","0.00048"
"8B5D","4","1","1","Success","0.00048"
"3SRU","4","100","100","Success","0.00077"
"7Z0L","4","1","1","Success","0.00034"
"4NUW","4","1100","1100","Success","0.00048"
"8R48","4","1111","1111","Success","0.00035"
"1PSQ","4","1100","1100","Success","0.00056"
"4CT5","4","1011","1011","Success","0.00036"
"8B6S","4","101","101","Success","0.00031"
"2CLP","4","1001","1001","Success","0.00017"
"1JK7","4","110","110","Success","0.00058"
